name,stage,calls,cpu_time_total_us,cuda_time_total_us,self_cpu_time_total_us,self_cuda_time_total_us,run_name
aten::squeeze,,606,1087.2600000000566,0,901.3029999999526,0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,222,2915.451999999972,2062.6869999999726,413.08499999988635,0.0,small_ctx256_train_step_fp32
torch::autograd::AccumulateGrad,,222,2502.3670000000857,2062.6869999999726,621.1740000001737,0.0,small_ctx256_train_step_fp32
aten::new_empty_strided,,170,624.8419999999642,0,206.53099999996994,0,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: MulBackward0,,340,7360.176999999912,3566.4800000001414,1464.3129999998055,0.0,small_ctx256_train_step_fp32
MulBackward0,,340,3909.743999999995,2456.4680000000044,660.1800000001094,0.0,small_ctx256_train_step_fp32
aten::detach,,52,83.90299999999479,0,33.2090000000353,0,small_ctx256_train_step_fp32
detach,,52,50.69399999995949,0,50.69399999995949,0,small_ctx256_train_step_fp32
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",,50,0,472.76700000002165,0,472.76700000002165,small_ctx256_train_step_fp32
autograd::engine::evaluate_function: RsqrtBackward0,,50,1634.4090000000397,183.22599999992235,145.09199999997873,0.0,small_ctx256_train_step_fp32
RsqrtBackward0,,50,1489.317000000061,183.22599999992235,221.03999999995722,0.0,small_ctx256_train_step_fp32
